NOC,Year,Sport,Medal,One_sum
Greece,1896,Shooting,Bronze,3
Greece,1896,Shooting,No medal,37
Greece,1896,Aquatics,Gold,1
Greece,1896,Aquatics,Silver,3
Greece,1896,Aquatics,Bronze,2
Greece,1896,Aquatics,No medal,5
Greece,1896,Tennis,Silver,3
Greece,1896,Tennis,Bronze,1
Greece,1896,Tennis,No medal,9
Greece,1896,Weightlifting,Bronze,2
Greece,1896,Weightlifting,No medal,2
Greece,1896,Wrestling,Silver,1
Greece,1896,Wrestling,Bronze,1
Hungary,1896,Athletics,Silver,1
Hungary,1896,Athletics,Bronze,2
Hungary,1896,Athletics,No medal,2
Hungary,1896,Gymnastics,No medal,8
Hungary,1896,Aquatics,Gold,2
Hungary,1896,Tennis,Bronze,1
Hungary,1896,Weightlifting,No medal,1
Hungary,1896,Wrestling,No medal,1
Italy,1896,Shooting,No medal,1
Sweden,1896,Athletics,No medal,4
Sweden,1896,Gymnastics,No medal,1
Switzerland,1896,Gymnastics,Gold,1
Switzerland,1896,Gymnastics,Silver,2
Switzerland,1896,Gymnastics,No medal,4
Switzerland,1896,Shooting,No medal,1
United States,1896,Athletics,Gold,9
United States,1896,Athletics,Silver,6
United States,1896,Athletics,Bronze,2
United States,1896,Athletics,No medal,4
United States,1896,Shooting,Gold,2
United States,1896,Shooting,Silver,1
United States,1896,Shooting,No medal,1
United States,1896,Aquatics,No medal,2
Argentina,1900,Fencing,No medal,1
Australia,1900,Athletics,Gold,1
Australia,1900,Athletics,Bronze,3
Australia,1900,Aquatics,Gold,2
Austria,1900,Athletics,No medal,3
Austria,1900,Equestrian,No medal,6
Austria,1900,Fencing,Bronze,2
Austria,1900,Fencing,No medal,6
Austria,1900,Aquatics,Silver,3
Austria,1900,Aquatics,Bronze,1
Austria,1900,Aquatics,No medal,5
Belgium,1900,Archery,Gold,3
Belgium,1900,Archery,Silver,3
Belgium,1900,Archery,Bronze,1
Belgium,1900,Archery,No medal,1
Belgium,1900,Cycling,No medal,1
Belgium,1900,Equestrian,Gold,3
Belgium,1900,Equestrian,Silver,1
Belgium,1900,Equestrian,Bronze,1
Belgium,1900,Equestrian,No medal,10
Belgium,1900,Fencing,No medal,6
Belgium,1900,Football,Bronze,9
Belgium,1900,Gymnastics,No medal,2
Belgium,1900,Rowing,Silver,9
Belgium,1900,Rowing,No medal,2
Belgium,1900,Shooting,Silver,1
Belgium,1900,Shooting,Bronze,2
Belgium,1900,Shooting,No medal,33
Belgium,1900,Aquatics,No medal,1
Belgium,1900,Aquatics,Silver,10
Belgium,1900,Aquatics,No medal,1
Bohemia,1900,Athletics,Silver,1
Bohemia,1900,Athletics,No medal,4
Bohemia,1900,Cycling,No medal,1
Bohemia,1900,Gymnastics,No medal,1
Bohemia,1900,Tennis,Bronze,2
Brazil,1900,Athletics,No medal,3
Canada,1900,Athletics,Gold,1
Canada,1900,Athletics,Bronze,1
Canada,1900,Athletics,No medal,5
Colombia,1900,Tug-Of-War,Silver,1
Cuba,1900,Fencing,Gold,1
Cuba,1900,Fencing,Silver,1
Denmark,1900,Athletics,Bronze,1
Denmark,1900,Athletics,No medal,5
Denmark,1900,Fencing,No medal,1
Denmark,1900,Shooting,Gold,1
Denmark,1900,Shooting,Silver,3
Denmark,1900,Shooting,No medal,21
Denmark,1900,Aquatics,Bronze,1
Denmark,1900,Tug-Of-War,Gold,3
France,1900,Archery,Gold,4
France,1900,Archery,Silver,5
France,1900,Archery,Bronze,4
France,1900,Archery,No medal,5
France,1900,Athletics,Silver,8
France,1900,Athletics,Bronze,2
France,1900,Athletics,No medal,19
France,1900,Cricket,Silver,3
France,1900,Croquet,Gold,4
France,1900,Croquet,Silver,2
France,1900,Croquet,Bronze,2
France,1900,Croquet,No medal,11
France,1900,Cycling,Gold,2
France,1900,Cycling,Silver,1
France,1900,Cycling,Bronze,2
France,1900,Cycling,No medal,66
France,1900,Equestrian,Gold,2
France,1900,Equestrian,Silver,2
France,1900,Equestrian,Bronze,4
France,1900,Equestrian,No medal,39
France,1900,Fencing,Gold,5
France,1900,Fencing,Silver,5
France,1900,Fencing,Bronze,5
France,1900,Fencing,No medal,238
France,1900,Football,Silver,13
France,1900,Golf,No medal,7
France,1900,Gymnastics,Gold,1
France,1900,Gymnastics,Silver,1
France,1900,Gymnastics,Bronze,1
France,1900,Gymnastics,No medal,105
France,1900,Polo,Silver,1
France,1900,Polo,Bronze,3
France,1900,Polo,No medal,4
France,1900,Rowing,Gold,6
France,1900,Rowing,Silver,7
France,1900,Rowing,Bronze,3
France,1900,Rowing,No medal,43
France,1900,Rugby,Gold,15
France,1900,Sailing,Gold,10
France,1900,Sailing,Silver,33
France,1900,Sailing,Bronze,29
France,1900,Sailing,No medal,155
France,1900,Shooting,Gold,2
France,1900,Shooting,Silver,6
France,1900,Shooting,Bronze,6
France,1900,Shooting,No medal,48
France,1900,Aquatics,Gold,1
France,1900,Aquatics,Silver,6
France,1900,Aquatics,Bronze,5
France,1900,Aquatics,No medal,69
France,1900,Tennis,Silver,3
France,1900,Tennis,Bronze,2
France,1900,Tennis,No medal,14
France,1900,Tug-Of-War,Silver,5
France,1900,Aquatics,Bronze,14
France,1900,Aquatics,No medal,13
Germany,1900,Athletics,No medal,10
Germany,1900,Cycling,Silver,1
Germany,1900,Cycling,No medal,4
Germany,1900,Equestrian,No medal,1
Germany,1900,Fencing,No medal,1
Germany,1900,Gymnastics,No medal,14
Germany,1900,Rowing,Gold,5
Germany,1900,Rowing,Bronze,11
Germany,1900,Rowing,No medal,14
Germany,1900,Rugby,Silver,15
Germany,1900,Sailing,Gold,4
Germany,1900,Sailing,Silver,4
Germany,1900,Sailing,No medal,4
Germany,1900,Aquatics,Gold,5
Germany,1900,Aquatics,No medal,3
Germany,1900,Aquatics,No medal,7
Great Britain,1900,Athletics,Gold,7
Great Britain,1900,Athletics,Silver,3
Great Britain,1900,Athletics,Bronze,2
Great Britain,1900,Athletics,No medal,7
Great Britain,1900,Cricket,Gold,12
Great Britain,1900,Cricket,Silver,9
Great Britain,1900,Cycling,Silver,1
Great Britain,1900,Cycling,No medal,1
Great Britain,1900,Equestrian,No medal,1
Great Britain,1900,Fencing,No medal,3
Great Britain,1900,Football,Gold,11
Great Britain,1900,Football,Bronze,1
Great Britain,1900,Golf,Silver,1
Great Britain,1900,Golf,Bronze,1
Great Britain,1900,Golf,No medal,3
Great Britain,1900,Gymnastics,No medal,4
Great Britain,1900,Polo,Gold,3
Great Britain,1900,Polo,Silver,2
Great Britain,1900,Polo,Bronze,1
Great Britain,1900,Rowing,Bronze,1
Great Britain,1900,Rugby,Silver,15
Great Britain,1900,Sailing,Gold,12
Great Britain,1900,Sailing,Silver,1
Great Britain,1900,Sailing,Bronze,1
Great Britain,1900,Sailing,No medal,5
Great Britain,1900,Shooting,No medal,1
Great Britain,1900,Aquatics,Gold,2
Great Britain,1900,Aquatics,Bronze,1
Great Britain,1900,Aquatics,No medal,11
Great Britain,1900,Tennis,Gold,6
Great Britain,1900,Tennis,Silver,2
Great Britain,1900,Tennis,Bronze,6
Great Britain,1900,Tennis,No medal,2
Great Britain,1900,Aquatics,Gold,6
Great Britain,1900,Aquatics,Bronze,1
Greece,1900,Athletics,No medal,3
Greece,1900,Golf,No medal,1
Haiti,1900,Fencing,No medal,3
Haiti,1900,Rugby,Gold,1
Hungary,1900,Athletics,Gold,1
Hungary,1900,Athletics,Bronze,1
Hungary,1900,Athletics,No medal,19
Hungary,1900,Fencing,No medal,8
Hungary,1900,Gymnastics,No medal,2
Hungary,1900,Aquatics,Silver,2
Hungary,1900,Aquatics,Bronze,1
India,1900,Athletics,Silver,2
India,1900,Athletics,No medal,3
Iran,1900,Fencing,No medal,1
Italy,1900,Athletics,No medal,3
Italy,1900,Cycling,Gold,1
Italy,1900,Cycling,No medal,9
Italy,1900,Equestrian,Gold,1
Italy,1900,Equestrian,Silver,1
Italy,1900,Equestrian,No medal,3
Italy,1900,Fencing,Gold,1
Italy,1900,Fencing,Silver,1
Italy,1900,Fencing,No medal,12
Italy,1900,Gymnastics,No medal,1
Italy,1900,Aquatics,No medal,3
Luxembourg,1900,Athletics,Gold,1
Mexico,1900,Polo,Bronze,3
Netherlands,1900,Archery,No medal,6
Netherlands,1900,Fencing,No medal,1
Netherlands,1900,Football,Bronze,1
Netherlands,1900,Rowing,Gold,3
Netherlands,1900,Rowing,Silver,5
Netherlands,1900,Rowing,Bronze,9
Netherlands,1900,Sailing,Silver,3
Netherlands,1900,Sailing,No medal,6
Netherlands,1900,Shooting,Bronze,5
Netherlands,1900,Shooting,No medal,30
Netherlands,1900,Aquatics,Bronze,1
Netherlands,1900,Aquatics,No medal,3
New Zealand,1900,Aquatics,Gold,1
Norway,1900,Athletics,Bronze,1
Norway,1900,Athletics,No medal,3
Norway,1900,Shooting,Silver,6
Norway,1900,Shooting,Bronze,2
Norway,1900,Shooting,No medal,17
Peru,1900,Fencing,No medal,2
Romania,1900,Shooting,No medal,1
Russia,1900,Equestrian,No medal,3
Russia,1900,Fencing,No medal,2
Spain,1900,Basque Pelota,Gold,2
Spain,1900,Equestrian,No medal,1
Spain,1900,Fencing,No medal,3
Spain,1900,Rowing,No medal,6
Sweden,1900,Athletics,Bronze,1
Sweden,1900,Athletics,No medal,19
Sweden,1900,Fencing,No medal,1
Sweden,1900,Aquatics,No medal,3
Sweden,1900,Tug-Of-War,Gold,3
Switzerland,1900,Fencing,No medal,4
Switzerland,1900,Gymnastics,No medal,3
Switzerland,1900,Sailing,Gold,3
Switzerland,1900,Sailing,Silver,3
Switzerland,1900,Sailing,No medal,3
Switzerland,1900,Shooting,Gold,13
Switzerland,1900,Shooting,Silver,1
Switzerland,1900,Shooting,Bronze,1
Switzerland,1900,Shooting,No medal,21
United States,1900,Athletics,Gold,16
United States,1900,Athletics,Silver,13
United States,1900,Athletics,Bronze,10
United States,1900,Athletics,No medal,52
United States,1900,Cycling,Bronze,1
United States,1900,Cycling,No medal,1
United States,1900,Fencing,No medal,3
United States,1900,Golf,Gold,2
United States,1900,Golf,Silver,1
United States,1900,Golf,Bronze,1
United States,1900,Golf,No medal,5
United States,1900,Polo,Gold,2
United States,1900,Polo,Silver,1
United States,1900,Polo,Bronze,1
United States,1900,Rowing,Gold,9
United States,1900,Rugby,Gold,1
United States,1900,Sailing,Bronze,2
United States,1900,Sailing,No medal,2
United States,1900,Aquatics,No medal,2
United States,1900,Tennis,Silver,1
United States,1900,Tennis,Bronze,2
United States,1900,Tennis,No medal,7
Australia,1904,Athletics,No medal,2
Australia,1904,Aquatics,Silver,3
Australia,1904,Aquatics,Bronze,1
Austria,1904,Gymnastics,Gold,2
Austria,1904,Gymnastics,Silver,1
Austria,1904,Gymnastics,No medal,1
Austria,1904,Aquatics,Bronze,1
Austria,1904,Aquatics,No medal,2
Canada,1904,Athletics,Gold,1
Canada,1904,Athletics,No medal,9
Canada,1904,Football,Gold,13
Canada,1904,Golf,Gold,1
Canada,1904,Golf,No medal,2
Canada,1904,Lacrosse,Gold,12
Canada,1904,Lacrosse,Bronze,12
Canada,1904,Rowing,Silver,9
Canada,1904,Wrestling,No medal,2
Cuba,1904,Athletics,No medal,1
Cuba,1904,Fencing,Gold,5
France,1904,Athletics,Silver,2
Germany,1904,Athletics,Bronze,1
Germany,1904,Athletics,No medal,4
Germany,1904,Aquatics,Silver,1
Germany,1904,Aquatics,No medal,2
Germany,1904,Fencing,No medal,2
Germany,1904,Gymnastics,Silver,1
Germany,1904,Gymnastics,Bronze,1
Germany,1904,Gymnastics,No medal,26
Germany,1904,Aquatics,Gold,4
Germany,1904,Aquatics,Silver,2
Germany,1904,Aquatics,Bronze,2
Germany,1904,Aquatics,No medal,1
Germany,1904,Tennis,No medal,2
Germany,1904,Tug-Of-War,Bronze,1
Germany,1904,Weightlifting,Bronze,2
Germany,1904,Wrestling,Silver,1
Germany,1904,Wrestling,No medal,2
Great Britain,1904,Athletics,Gold,1
Great Britain,1904,Athletics,Silver,1
Great Britain,1904,Athletics,No medal,1
Great Britain,1904,Fencing,No medal,1
Great Britain,1904,Golf,No medal,2
Greece,1904,Athletics,Bronze,1
Greece,1904,Athletics,No medal,10
Greece,1904,Tug-Of-War,No medal,5
Greece,1904,Weightlifting,Gold,1
Hungary,1904,Athletics,No medal,5
Hungary,1904,Aquatics,Gold,2
Hungary,1904,Aquatics,Silver,1
Hungary,1904,Aquatics,Bronze,1
Italy,1904,Cycling,No medal,1
Norway,1904,Gymnastics,No medal,4
Norway,1904,Wrestling,Gold,2
South Africa,1904,Athletics,No medal,3
South Africa,1904,Tug-Of-War,No medal,5
Switzerland,1904,Gymnastics,Gold,1
Switzerland,1904,Gymnastics,Bronze,1
Switzerland,1904,Gymnastics,No medal,4
Switzerland,1904,Wrestling,Bronze,1
United States,1904,Archery,Gold,12
United States,1904,Archery,Silver,8
United States,1904,Archery,Bronze,8
United States,1904,Archery,No medal,42
United States,1904,Athletics,Gold,26
United States,1904,Athletics,Silver,25
United States,1904,Athletics,Bronze,21
United States,1904,Athletics,No medal,86
United States,1904,Boxing,Gold,7
United States,1904,Boxing,Silver,7
United States,1904,Boxing,Bronze,4
United States,1904,Boxing,No medal,6
United States,1904,Cycling,Gold,7
United States,1904,Cycling,Silver,7
United States,1904,Cycling,Bronze,7
United States,1904,Cycling,No medal,39
United States,1904,Aquatics,Gold,1
United States,1904,Aquatics,Bronze,1
United States,1904,Fencing,Gold,2
United States,1904,Fencing,Silver,7
United States,1904,Fencing,Bronze,4
United States,1904,Fencing,No medal,7
United States,1904,Football,Silver,11
United States,1904,Football,Bronze,12
United States,1904,Golf,Gold,10
United States,1904,Golf,Silver,11
United States,1904,Golf,Bronze,12
United States,1904,Golf,No medal,67
United States,1904,Gymnastics,Gold,16
United States,1904,Gymnastics,Silver,13
United States,1904,Gymnastics,Bronze,15
United States,1904,Gymnastics,No medal,372
United States,1904,Lacrosse,Silver,12
United States,1904,Roque,Gold,1
United States,1904,Roque,Silver,1
United States,1904,Roque,Bronze,1
United States,1904,Roque,No medal,1
United States,1904,Rowing,Gold,18
United States,1904,Rowing,Silver,9
United States,1904,Rowing,Bronze,9
United States,1904,Rowing,No medal,1
United States,1904,Aquatics,Gold,7
United States,1904,Aquatics,Silver,7
United States,1904,Aquatics,Bronze,8
United States,1904,Aquatics,No medal,22
United States,1904,Tennis,Gold,3
United States,1904,Tennis,Silver,3
United States,1904,Tennis,Bronze,6
United States,1904,Tennis,No medal,43
United States,1904,Tug-Of-War,Gold,5
United States,1904,Tug-Of-War,Silver,5
United States,1904,Tug-Of-War,Bronze,4
United States,1904,Tug-Of-War,No medal,5
United States,1904,Aquatics,Gold,7
United States,1904,Aquatics,Silver,7
United States,1904,Aquatics,Bronze,7
United States,1904,Weightlifting,Gold,1
United States,1904,Weightlifting,Silver,2
United States,1904,Weightlifting,No medal,1
United States,1904,Wrestling,Gold,5
United States,1904,Wrestling,Silver,6
United States,1904,Wrestling,Bronze,6
United States,1904,Wrestling,No medal,23
Australia,1906,Athletics,Bronze,2
Australia,1906,Athletics,No medal,5
Australia,1906,Aquatics,Bronze,1
Australia,1906,Aquatics,No medal,2
Austria,1906,Athletics,No medal,32
Austria,1906,Cycling,No medal,18
Austria,1906,Aquatics,Bronze,1
Austria,1906,Fencing,No medal,6
Austria,1906,Shooting,No medal,15
Austria,1906,Aquatics,Gold,1
Austria,1906,Aquatics,Bronze,1
Austria,1906,Aquatics,No medal,7
Austria,1906,Tug-Of-War,No medal,8
Austria,1906,Weightlifting,Gold,1
Austria,1906,Weightlifting,Silver,1
Austria,1906,Wrestling,Gold,1
Austria,1906,Wrestling,Silver,2
Austria,1906,Wrestling,Bronze,1
Austria,1906,Wrestling,No medal,5
Belgium,1906,Athletics,Silver,1
Belgium,1906,Athletics,No medal,3
Belgium,1906,Cycling,Bronze,1
Belgium,1906,Cycling,No medal,5
Belgium,1906,Fencing,Gold,2
Belgium,1906,Fencing,Bronze,4
Belgium,1906,Fencing,No medal,5
Belgium,1906,Rowing,Silver,2
Belgium,1906,Rowing,No medal,2
Belgium,1906,Shooting,No medal,1
Belgium,1906,Weightlifting,No medal,2
Belgium,1906,Wrestling,Bronze,1
Belgium,1906,Wrestling,No medal,2
Bohemia,1906,Athletics,No medal,13
Bohemia,1906,Fencing,No medal,1
Bohemia,1906,Gymnastics,No medal,3
Bohemia,1906,Shooting,No medal,5
Bohemia,1906,Tennis,Bronze,3
Bohemia,1906,Tennis,No medal,2
Bohemia,1906,Wrestling,No medal,2
Canada,1906,Athletics,Gold,1
Canada,1906,Athletics,Silver,1
Canada,1906,Athletics,No medal,2
Denmark,1906,Athletics,No medal,13
Denmark,1906,Cycling,No medal,2
Denmark,1906,Fencing,No medal,5
Denmark,1906,Football,Gold,12
Denmark,1906,Gymnastics,Silver,18
Denmark,1906,Rowing,No medal,11
Denmark,1906,Aquatics,No medal,3
Denmark,1906,Wrestling,Gold,2
Denmark,1906,Wrestling,Silver,1
Denmark,1906,Wrestling,Bronze,1
Egypt,1906,Athletics,No medal,2
Egypt,1906,Cycling,No medal,2
Egypt,1906,Wrestling,No medal,1
Finland,1906,Athletics,Gold,1
Finland,1906,Athletics,Bronze,1
Finland,1906,Athletics,No medal,14
Finland,1906,Wrestling,Gold,1
Finland,1906,Wrestling,Silver,1
France,1906,Athletics,Gold,1
France,1906,Athletics,No medal,22
France,1906,Cycling,Gold,1
France,1906,Cycling,Silver,2
France,1906,Cycling,Bronze,4
France,1906,Cycling,No medal,15
France,1906,Fencing,Gold,6
France,1906,Fencing,Silver,1
France,1906,Fencing,Bronze,1
France,1906,Fencing,No medal,5
France,1906,Football,Silver,3
France,1906,Gymnastics,Gold,2
France,1906,Gymnastics,Bronze,2
France,1906,Gymnastics,No medal,4
France,1906,Rowing,Gold,1
France,1906,Rowing,Silver,6
France,1906,Rowing,Bronze,11
France,1906,Rowing,No medal,6
France,1906,Shooting,Gold,4
France,1906,Shooting,Silver,3
France,1906,Shooting,Bronze,9
France,1906,Shooting,No medal,50
France,1906,Aquatics,No medal,3
France,1906,Tennis,Gold,5
France,1906,Tennis,Silver,1
France,1906,Tennis,No medal,2
France,1906,Weightlifting,Bronze,1
France,1906,Weightlifting,No medal,1
France,1906,Wrestling,No medal,2
Germany,1906,Athletics,Silver,1
Germany,1906,Athletics,Bronze,1
Germany,1906,Athletics,No medal,45
Germany,1906,Cycling,Silver,2
Germany,1906,Cycling,Bronze,2
Germany,1906,Cycling,No medal,23
Germany,1906,Aquatics,Gold,1
Germany,1906,Aquatics,Silver,1
Germany,1906,Aquatics,No medal,2
Germany,1906,Fencing,Gold,5
Germany,1906,Fencing,Silver,2
Germany,1906,Fencing,No medal,16
Germany,1906,Gymnastics,No medal,33
Germany,1906,Aquatics,Silver,4
Germany,1906,Aquatics,No medal,5
Germany,1906,Tug-Of-War,Gold,8
Germany,1906,Weightlifting,Bronze,3
Germany,1906,Weightlifting,No medal,1
Germany,1906,Wrestling,No medal,2
Great Britain,1906,Athletics,Gold,3
Great Britain,1906,Athletics,Silver,5
Great Britain,1906,Athletics,Bronze,1
Great Britain,1906,Athletics,No medal,27
Great Britain,1906,Cycling,Gold,3
Great Britain,1906,Cycling,Silver,3
Great Britain,1906,Cycling,No medal,14
Great Britain,1906,Aquatics,No medal,2
Great Britain,1906,Fencing,Silver,4
Great Britain,1906,Fencing,No medal,3
Great Britain,1906,Football,Silver,8
Great Britain,1906,Gymnastics,No medal,4
Great Britain,1906,Rowing,No medal,1
Great Britain,1906,Shooting,Gold,2
Great Britain,1906,Shooting,Bronze,2
Great Britain,1906,Shooting,No medal,17
Great Britain,1906,Aquatics,Gold,1
Great Britain,1906,Aquatics,Silver,2
Great Britain,1906,Aquatics,Bronze,5
Great Britain,1906,Aquatics,No medal,6
Greece,1906,Athletics,Gold,1
Greece,1906,Athletics,Silver,2
Greece,1906,Athletics,Bronze,4
Greece,1906,Athletics,No medal,101
Greece,1906,Cycling,No medal,22
Greece,1906,Aquatics,No medal,3
Greece,1906,Fencing,Gold,1
Greece,1906,Fencing,Silver,5
Greece,1906,Fencing,Bronze,1
Greece,1906,Fencing,No medal,19
Greece,1906,Football,Bronze,11
Greece,1906,Football,No medal,11
Greece,1906,Gymnastics,Gold,1
Greece,1906,Gymnastics,Bronze,1
Greece,1906,Gymnastics,No medal,21
Greece,1906,Rowing,Gold,17
Greece,1906,Rowing,Silver,25
Greece,1906,Rowing,Bronze,7
Greece,1906,Rowing,No medal,73
Greece,1906,Shooting,Gold,2
Greece,1906,Shooting,Silver,3
Greece,1906,Shooting,Bronze,3
Greece,1906,Shooting,No medal,90
Greece,1906,Aquatics,No medal,9
Greece,1906,Tennis,Gold,1
Greece,1906,Tennis,Silver,5
Greece,1906,Tennis,Bronze,3
Greece,1906,Tennis,No medal,16
Greece,1906,Tug-Of-War,Silver,8
Greece,1906,Weightlifting,Gold,1
Greece,1906,Weightlifting,No medal,8
Greece,1906,Wrestling,No medal,9
Hungary,1906,Athletics,Gold,1
Hungary,1906,Athletics,Silver,3
Hungary,1906,Athletics,Bronze,1
Hungary,1906,Athletics,No medal,30
Hungary,1906,Fencing,Bronze,1
Hungary,1906,Fencing,No medal,17
Hungary,1906,Gymnastics,Silver,1
Hungary,1906,Gymnastics,No medal,21
Hungary,1906,Shooting,No medal,12
Hungary,1906,Aquatics,Gold,4
Hungary,1906,Aquatics,Silver,1
Hungary,1906,Aquatics,No medal,3
Hungary,1906,Tennis,No medal,1
Hungary,1906,Wrestling,Bronze,1
Hungary,1906,Wrestling,No medal,2
Italy,1906,Athletics,No medal,9
Italy,1906,Cycling,Gold,3
Italy,1906,Cycling,No medal,4
Italy,1906,Aquatics,No medal,2
Italy,1906,Fencing,Silver,1
Italy,1906,Fencing,Bronze,1
Italy,1906,Fencing,No medal,2
Italy,1906,Gymnastics,Silver,2
Italy,1906,Gymnastics,Bronze,9
Italy,1906,Gymnastics,No medal,13
Italy,1906,Rowing,Gold,18
Italy,1906,Rowing,Silver,3
Italy,1906,Rowing,Bronze,17
Italy,1906,Shooting,Silver,1
Italy,1906,Shooting,No medal,14
Italy,1906,Aquatics,No medal,2
Italy,1906,Weightlifting,Silver,1
Italy,1906,Weightlifting,No medal,1
Netherlands,1906,Fencing,Silver,1
Netherlands,1906,Fencing,Bronze,5
Netherlands,1906,Fencing,No medal,38
Netherlands,1906,Tennis,No medal,5
Norway,1906,Athletics,No medal,7
Norway,1906,Gymnastics,Gold,20
Norway,1906,Gymnastics,No medal,1
Norway,1906,Shooting,Silver,5
Norway,1906,Shooting,No medal,22
Sweden,1906,Athletics,Gold,2
Sweden,1906,Athletics,Silver,4
Sweden,1906,Athletics,Bronze,5
Sweden,1906,Athletics,No medal,24
Sweden,1906,Cycling,No medal,4
Sweden,1906,Aquatics,No medal,11
Sweden,1906,Fencing,No medal,3
Sweden,1906,Shooting,Silver,1
Sweden,1906,Shooting,Bronze,1
Sweden,1906,Shooting,No medal,21
Sweden,1906,Aquatics,No medal,10
Sweden,1906,Tug-Of-War,Bronze,8
Sweden,1906,Weightlifting,No medal,1
Switzerland,1906,Athletics,No medal,1
Switzerland,1906,Cycling,No medal,8
Switzerland,1906,Shooting,Gold,8
Switzerland,1906,Shooting,Silver,3
Switzerland,1906,Shooting,Bronze,1
Switzerland,1906,Shooting,No medal,24
Turkey,1906,Athletics,No medal,2
United States,1906,Athletics,Gold,11
United States,1906,Athletics,Silver,6
United States,1906,Athletics,Bronze,6
United States,1906,Athletics,No medal,43
United States,1906,Aquatics,No medal,1
United States,1906,Aquatics,Gold,1
United States,1906,Aquatics,No medal,7
United States,1906,Tennis,No medal,4
United States,1906,Wrestling,No medal,2
Australasia,1908,Athletics,Bronze,1
Australasia,1908,Athletics,No medal,14
Australasia,1908,Boxing,Silver,1
Australasia,1908,Aquatics,No medal,1
Australasia,1908,Rugby,Gold,1
Australasia,1908,Shooting,No medal,3
Australasia,1908,Aquatics,Silver,1
Australasia,1908,Aquatics,Bronze,1
Australasia,1908,Aquatics,No medal,11
Austria,1908,Athletics,No medal,4
Austria,1908,Fencing,No medal,1
Austria,1908,Aquatics,Bronze,1
Austria,1908,Aquatics,No medal,2
Austria,1908,Tennis,No medal,5
Belgium,1908,Athletics,No medal,10
Belgium,1908,Cycling,Bronze,1
Belgium,1908,Cycling,No medal,11
Belgium,1908,Aquatics,No medal,1
Belgium,1908,Fencing,Bronze,7
Belgium,1908,Fencing,No medal,20
Belgium,1908,Gymnastics,No medal,2
Belgium,1908,Rowing,Silver,9
Belgium,1908,Rowing,No medal,1
Belgium,1908,Sailing,Silver,3
Belgium,1908,Shooting,Gold,1
Belgium,1908,Shooting,Silver,5
Belgium,1908,Shooting,No medal,10
Belgium,1908,Aquatics,No medal,7
Belgium,1908,Aquatics,Silver,7
Belgium,1908,Wrestling,No medal,4
Bohemia,1908,Athletics,No medal,6
Bohemia,1908,Fencing,Bronze,6
